nodo,pagerank,controlabilidad
35383,0.0039200000,0.1176784761
35603,0.0128000000,0.3478131862
36183,0.1069729796,0.2684707139
36823,0.0820832095,0.4431191027
36863,0.0784794035,0.1046228710
37133,0.0039200000,0.1545308884
38003,0.0590000000,0.2920301466
38033,0.0097100000,0.3971277669
38133,0.0039200000,0.4580737048
38883,0.0039200000,0.4507150911
39303,0.0326000000,0.1895436473
39393,0.0748838268,0.5997863628
39483,0.0190000000,0.1104385496
39523,0.0143000000,0.3978398908
39553,0.0039200000,0.5110082488
39653,0.0072200000,0.4165331434
40153,0.0039200000,0.4846596641
40403,0.0161000000,0.3854370660
40563,0.0182000000,0.3872767195
41573,0.0208000000,0.2811109133
41693,0.1720779039,0.0192866892
42683,0.0735106882,0.4257314106
42693,0.0179000000,0.1345914189
43243,0.0065600000,0.1880600558
43833,0.0039200000,0.5553973058
44453,0.0329000000,0.1705536763
45013,0.0387000000,0.1709690820
45443,0.0163000000,0.2392736336
45523,0.0402000000,0.0926947956
46463,0.0126000000,0.9045753961
47023,0.0355000000,0.1214764702
47083,0.0543000000,0.2899531185
47293,0.0039200000,0.1786244140
47333,0.0789047357,0.3235416296
47973,0.1007087615,0.1713251439
48193,0.0039200000,0.9843332740
48443,0.1519976146,0.1237315293
48903,0.0961715955,0.1063438372
49333,0.0188000000,0.4220521037
50043,0.1109217514,0.1034359979
50933,0.0639000000,0.1625422824
51013,0.0096700000,0.0993412854
53103,0.0233000000,0.2057444662
53213,0.0995288024,0.0936442941
53453,0.0039200000,0.6752121536
53953,0.1074886856,0.0559017269
54553,0.0565000000,0.0808260637
54733,0.0475000000,0.0688979883
54793,0.0165000000,0.1525725476
55273,0.0039200000,0.1093703638
55523,0.0225000000,0.9421399323
55573,0.0294000000,0.5548632129
55733,0.0162000000,0.1041481218
55753,0.0106000000,0.2008189425
55823,0.0174000000,0.6321880007
56653,0.2447612500,0.0407690938
56733,0.0130000000,0.2990920420
56833,0.1326983116,0.1361343540
56903,0.0605000000,0.3123256780
57323,0.0316000000,0.0652186814
57353,0.0160000000,0.5397305798
57383,0.0039200000,0.6679128835
57443,0.0134000000,0.0483650822
57773,0.0142000000,0.4041303187
57863,0.0064000000,0.4582517358
58863,0.0039200000,0.8585840603
59033,0.0075300000,0.4984273930
59313,0.0345000000,0.2261586849
59643,0.0552000000,0.1648566851
60063,0.0095100000,0.3746958637
60313,0.0403000000,0.1591596938
60463,0.0115000000,0.3208118213
61233,0.0910399012,0.0549522284
61633,0.0178000000,0.1557771052
62763,0.1006670678,0.1738769213
62983,0.0780535253,0.0964927898
64543,0.0351000000,0.5191383301
65073,0.0114000000,0.5448341345
65473,0.0039200000,0.3892350602
65573,0.0330000000,0.0956619785
66133,0.0039200000,0.1723933298
66583,0.0400000000,0.1094890511
66653,0.0820784121,0.1511482998
67753,0.0039200000,0.4701798113
67923,0.0393000000,0.1633730936
68453,0.0377000000,0.3622930390
68783,0.0133000000,0.5766423358
69743,0.0434000000,0.0627855914
70373,0.0261000000,0.2506676162
70723,0.0153000000,0.1674084624
71353,0.0337000000,0.2021838467
72373,0.1100924222,0.1005875022
72883,0.0697512848,0.2824758175
73703,0.0205000000,0.0994006290
73823,0.0076400000,0.6025161711
73843,0.1554653449,0.0675330841
74673,0.0039200000,0.5040056970
74683,0.0156000000,0.2211144739
75093,0.0039200000,0.6918877218
75533,0.0270000000,0.4730283069
76043,0.0736233406,0.1411192214
76123,0.0289000000,0.7423891757
76643,0.0463000000,0.2126283307
77063,0.0327000000,0.2133997982
78163,0.0039200000,0.8325321939
78393,0.0039200000,0.7979941843
78733,0.0188000000,0.2734555813
78743,0.0156000000,0.2075841196
79903,0.0321000000,0.1280042727
80313,0.0133000000,0.4349890214
81193,0.0180000000,0.2179692600
81213,0.0246000000,0.2314996143
81513,0.0184000000,0.4461456293
82433,0.0559000000,0.1934603288
86843,0.0099600000,0.1259272447
89903,0.0069600000,0.7563349356
104203,0.0323000000,0.7504599134
109293,0.0115000000,0.1626609697
111483,0.0435000000,0.0623701858
118013,0.0236000000,0.1900777402
120253,0.0203000000,0.0445077444
125033,0.0441000000,0.0376832236
125503,0.0081100000,0.1028425613
139113,0.0039200000,0.2328051748
160763,0.0557000000,0.0427274346
161043,0.0079400000,0.1021304374
165293,0.0039200000,0.2390362590
182563,0.0333000000,0.2373746365
186193,0.0071900000,0.7184143374
194323,0.0189000000,0.0966114771
211523,0.0039200000,0.7565723102
249153,0.0089500000,0.1799299745
277813,0.0151000000,0.5009791704
279603,0.0039200000,0.3285264969
284933,0.0164000000,0.1773781971
302823,0.0550000000,0.0639724645
307503,0.0098500000,0.1497240520
330093,0.0722535850,0.1948845766
332083,0.0066800000,0.0731707317
332163,0.0328000000,0.7149130615
334503,0.0139000000,0.6266690404
