nodo,pagerank
786152,"0.0256000000"
786342,"0.0329000000"
786382,"0.0273000000"
786491,"0.0484000000"
786750,"0.0105000000"
786795,"0.0162000000"
786836,"0.0391000000"
786916,"0.0070500000"
786937,"0.0275000000"
787166,"0.0334000000"
787438,"0.0039200000"
787596,"0.0183000000"
787910,"0.0378000000"
788034,"0.0039200000"
788247,"0.0138000000"
788299,"0.0184000000"
788350,"0.0108000000"
788570,"0.0106000000"
788642,"0.0098000000"
788670,"0.0039200000"
788863,"0.0296000000"
789068,"0.0039200000"
789072,"0.0091700000"
789109,"0.0221000000"
789158,"0.0394000000"
789286,"0.0039200000"
789580,"0.0970292156"
790000,"0.0183000000"
790079,"0.0171000000"
790800,"0.1040472508"
791003,"0.0039200000"
791045,"0.0702012856"
791125,"0.0039200000"
791250,"0.0039200000"
791288,"0.0187000000"
791300,"0.0067100000"
791838,"0.0332000000"
791951,"0.0039200000"
792121,"0.0110000000"
792177,"0.0179000000"
792230,"0.0039200000"
792333,"0.0883293247"
792443,"0.0200000000"
792563,"0.0065800000"
792596,"0.0130000000"
792646,"0.1041603176"
792764,"0.0039200000"
792909,"0.0162000000"
793024,"0.0214000000"
793112,"0.0213000000"
793238,"0.0792380409"
793342,"0.0235000000"
793695,"0.0096000000"
793721,"0.0118000000"
793772,"0.0365000000"
793909,"0.0316000000"
794136,"0.0039200000"
794227,"0.0039200000"
794309,"0.0125000000"
794633,"0.0873064286"
794784,"0.0039200000"
794801,"0.0401000000"
794885,"0.0343000000"
795100,"0.0355000000"
795360,"0.0514000000"
795448,"0.0091400000"
796135,"0.1742154409"
796772,"0.0326000000"
797203,"0.0448000000"
797285,"0.0369000000"
797835,"0.0198000000"
797840,"0.0205000000"
797943,"0.0065600000"
798007,"0.0288000000"
798102,"0.0148000000"
798171,"0.0110000000"
798201,"0.0088400000"
798295,"0.0200000000"
798391,"0.0266000000"
798478,"0.0156000000"
798577,"0.0485000000"
798645,"0.0121000000"
798851,"0.0168000000"
798952,"0.0039200000"
799088,"0.0674774214"
799198,"0.0224000000"
799246,"0.0164000000"
799247,"0.0055000000"
799254,"0.0039200000"
799286,"0.0158000000"
799297,"0.0087600000"
799390,"0.0169000000"
799499,"0.0332000000"
799532,"0.0039200000"
799645,"0.0661041769"
799963,"0.0039200000"
799965,"0.0244000000"
800031,"0.0184000000"
800069,"0.0169000000"
800076,"0.0659317123"
800364,"0.0039200000"
800407,"0.0170000000"
800548,"0.0278000000"
800991,"0.0582000000"
801123,"0.0493000000"
801173,"0.0144000000"
801446,"0.0143000000"
801486,"0.0039200000"
801587,"0.0039200000"
801660,"0.0183000000"
801917,"0.0065600000"
802093,"0.0262000000"
802212,"0.0066800000"
802225,"0.0703303834"
802833,"0.0039200000"
803201,"0.0265000000"
803324,"0.0039200000"
803890,"0.0157000000"
803938,"0.0054400000"
803975,"0.0978265051"
803979,"0.0094400000"
804070,"0.0140000000"
804138,"0.0039200000"
804358,"0.0264000000"
804382,"0.0039200000"
804416,"0.0039200000"
804457,"0.0039200000"
804683,"0.0566000000"
804763,"0.0039200000"
804808,"0.0141000000"
805066,"0.0039200000"
805124,"0.0147000000"
805280,"0.0065600000"
805450,"0.0134000000"
805758,"0.0177000000"
805991,"0.0112000000"
806043,"0.0096400000"
806057,"0.0123000000"
806539,"0.0039200000"
806753,"0.0538000000"
807091,"0.0119000000"
807161,"0.0122000000"
807649,"0.0501000000"
807720,"0.0039200000"
807776,"0.0172000000"
807891,"0.0444000000"
807913,"0.0467000000"
807933,"0.0281000000"
808096,"0.0282000000"
808213,"0.0039200000"
808520,"0.0407000000"
808739,"0.0071800000"
808847,"0.0039200000"
809093,"0.0230000000"
809131,"0.0177000000"
809138,"0.0191000000"
809184,"0.0242000000"
809288,"0.0245000000"
809445,"0.0415000000"
809760,"0.0560000000"
809866,"0.0343000000"
810134,"0.0100000000"
810204,"0.0039200000"
810224,"0.0039200000"
810560,"0.0128000000"
810579,"0.0039200000"
810647,"0.0039200000"
810948,"0.0065800000"
811051,"0.0674720378"
811099,"0.0144000000"
811255,"0.0170000000"
811453,"0.0132000000"
812126,"0.0141000000"
812493,"0.0125000000"
812842,"0.0039200000"
813365,"0.0039200000"
813491,"0.0410000000"
813524,"0.0083000000"
813670,"0.0039200000"
813798,"0.0091800000"
814056,"0.0087600000"
814153,"0.0039200000"
814253,"0.1420699277"
814256,"0.1484425279"
814293,"0.0523000000"
814304,"0.0840061963"
814310,"0.0067600000"
814422,"0.0095400000"
814859,"0.0259000000"
814881,"0.0200000000"
814927,"0.0196000000"
815088,"0.0092600000"
815295,"0.0260000000"
815314,"0.0078700000"
815411,"0.0553000000"
815554,"0.0039200000"
815577,"0.0039200000"
815586,"0.0154000000"
815587,"0.0276000000"
815666,"0.0039200000"
815875,"0.0082500000"
816089,"0.0105000000"
816145,"0.0094600000"
816234,"0.0063300000"
816242,"0.0073900000"
816640,"0.0039200000"
816653,"0.0866281831"
816838,"0.0039200000"
816850,"0.0039200000"
816952,"0.0341000000"
817083,"0.0108000000"
817112,"0.0039200000"
817183,"0.0382000000"
817204,"0.0055900000"
817246,"0.0242000000"
817742,"0.0163000000"
817900,"0.0418000000"
817907,"0.0150000000"
818146,"0.0090400000"
818155,"0.0039200000"
818277,"0.0131000000"
818340,"0.0826807242"
818440,"0.0086700000"
818666,"0.0149000000"
818690,"0.0039200000"
818790,"0.0039200000"
818797,"0.0145000000"
818814,"0.0261000000"
818851,"0.0138000000"
818878,"0.0090000000"
819068,"0.0039200000"
819268,"0.0087000000"
819302,"0.0039200000"
819425,"0.0039200000"
819522,"0.0288000000"
819613,"0.0039200000"
819647,"0.0116000000"
819672,"0.0039200000"
819999,"0.0637000000"
820025,"0.0082000000"
820251,"0.0147000000"
820272,"0.0210000000"
820585,"0.0839043863"
820661,"0.0188000000"
821083,"0.0039200000"
821609,"0.0264000000"
821637,"0.0039200000"
821669,"0.0039200000"
821949,"0.0039200000"
821996,"0.0039200000"
822112,"0.0039200000"
822482,"0.0174000000"
822506,"0.0274000000"
822715,"0.0172000000"
823054,"0.0153000000"
823083,"0.0840148633"
823106,"0.0187000000"
823115,"0.0366000000"
823261,"0.0295000000"
823288,"0.0169000000"
823350,"0.0039200000"
823506,"0.0091600000"
823784,"0.0120000000"
823999,"0.0125000000"
824087,"0.0039200000"
824130,"0.0204000000"
824155,"0.0233000000"
826951,"0.0039200000"
831481,"0.0457000000"
832331,"0.0039200000"
834711,"0.0039200000"
836241,"0.0067100000"
837791,"0.0076400000"
839201,"0.0223000000"
839321,"0.0827373357"
840561,"0.0215000000"
843631,"0.0459000000"
847721,"0.0090700000"
849101,"0.0220000000"
849591,"0.0391000000"
851991,"0.0222000000"
