nodo,controlability,kshell
12741,0.0540620735,5
12801,0.2958874844,5
12802,0.2866892173,6
12815,0.5516586553,5
12853,0.1583288826,6
12861,0.3989674203,6
12864,0.1604059106,6
12865,0.2201056317,4
12877,0.4339208356,3
12891,0.3967123613,3
12913,0.5676814432,5
12947,0.3001008842,4
12951,0.4190849208,4
13040,0.0642691828,9
13098,0.3446679722,6
13167,0.0378019109,6
13170,0.2453266868,3
13171,0.2034894072,3
13185,0.5042430716,4
13203,0.1094890511,6
13228,0.7909322889,5
13322,0.7120052222,3
13327,0.7850572666,2
13348,0.0082487686,9
13352,0.2496587740,9
13373,0.9293217020,3
13390,0.8583466857,2
13403,0.6065515400,3
13405,0.2031926889,6
13407,0.1197555041,2
13412,0.4382529227,4
13413,0.4827013234,8
13431,0.3456174708,3
13470,0.0761379147,6
13485,0.3567147350,6
13503,0.4497062489,3
13504,0.6385377722,3
13527,0.1974956976,4
13545,0.0887187704,5
13559,0.3668625007,3
13565,0.6199632069,3
13569,0.2700729927,5
13581,0.3440151920,7
13607,0.2393329773,3
13653,0.9138330069,3
13696,0.2482938698,4
13729,0.5479200047,3
13740,0.0972642573,3
13893,0.1807607857,3
14263,0.5661385081,5
14893,0.1173817578,5
15023,0.1141178565,5
15033,0.1917987063,5
15403,0.1491306154,5
15483,0.5606788915,4
15633,0.5844163551,3
16133,0.0894902380,6
16263,0.7442288291,5
16383,0.5799062370,3
16813,0.0564951635,5
16853,0.4928490891,3
16943,0.2768381698,5
17313,0.5445967598,2
17353,0.1666963385,5
17593,0.5567028663,2
17673,0.1937570471,3
18473,0.3839534746,3
18713,0.0532906059,5
19223,0.6612663937,2
19813,0.0129962614,4
20053,0.1169070085,2
21203,0.2957687971,4
21573,0.2422408166,4
21843,0.1935196724,6
22083,0.1075900540,6
22253,0.0945937927,5
22263,0.0918639843,6
22823,0.2985579491,3
22873,0.2982018871,6
23823,0.6439380452,2
24053,0.2456234051,3
24263,0.3495341523,6
24303,0.2890629636,6
24393,0.2369592309,5
24883,0.4946293988,5
24923,0.6012699543,3
25243,0.6595454276,2
25583,0.0991632544,5
25663,0.4759954899,9
25793,0.3277550294,4
25923,0.3468043440,3
26163,0.4192036081,4
26253,0.2932170198,6
26743,0.1512669871,9
27953,0.2558305145,5
29283,0.3627677883,5
30733,0.1086582399,2
30953,0.1170850395,3
31673,0.1982671652,6
32893,0.0691353629,7
33423,0.2548810160,6
33493,0.4753427096,3
34153,0.7616758649,3
34883,0.6979407750,4
35013,0.0607679070,6
35373,0.2752358910,2
35383,0.1176784761,4
35603,0.3478131862,3
36183,0.2684707139,6
36823,0.4431191027,6
36863,0.1046228710,5
37133,0.1545308884,5
38003,0.2920301466,5
38033,0.3971277669,3
38133,0.4580737048,2
38883,0.4507150911,4
39303,0.1895436473,6
39393,0.5997863628,6
39483,0.1104385496,4
39523,0.3978398908,4
39553,0.5110082488,2
39653,0.4165331434,4
40153,0.4846596641,4
40403,0.3854370660,4
40563,0.3872767195,5
41573,0.2811109133,2
41693,0.0192866892,6
42683,0.4257314106,6
42693,0.1345914189,4
43243,0.1880600558,3
43833,0.5553973058,4
