nodo,pagerank,kshell
614853,0.0367000000,4
615343,0.0141000000,3
615403,0.0952870228,5
615413,0.0375000000,5
616723,0.0039200000,4
617053,0.0381000000,5
618763,0.0379000000,3
619433,0.0091200000,2
620553,0.0378000000,4
620763,0.0043300000,4
620813,0.0142000000,3
620863,0.0351000000,8
621003,0.0173000000,2
621393,0.0209000000,3
621713,0.0372000000,5
622053,0.0172000000,3
623133,0.0340000000,8
623483,0.0151000000,3
623623,0.1124105630,6
623973,0.0039200000,2
624023,0.0086000000,2
624683,0.0536000000,5
625093,0.0067300000,6
625513,0.0039200000,2
625833,0.0039200000,2
626183,0.0599000000,5
626593,0.0151000000,3
627213,0.0187000000,4
627303,0.0217000000,3
627813,0.0149000000,4
629843,0.0213000000,5
630113,0.0276000000,5
630793,0.0039200000,5
631823,0.0141000000,2
632053,0.0140000000,2
632173,0.0189000000,5
632433,0.1699096822,7
632443,0.0850335305,7
633293,0.0064900000,5
634433,0.0039200000,3
635633,0.0651418837,6
636593,0.0039200000,2
636843,0.0465000000,7
637533,0.0386000000,3
637773,0.0117000000,2
638323,0.0334000000,4
638403,0.0165000000,3
639433,0.0159000000,2
639973,0.0039200000,2
640983,0.0039200000,5
641483,0.0050700000,6
641953,0.0072900000,4
643323,0.0085400000,3
646663,0.0168000000,3
649283,0.0319000000,3
649713,0.0854268308,6
652193,0.0074700000,4
652293,0.0873054092,6
653433,0.0153000000,2
655313,0.0039200000,2
656423,0.0189000000,3
656433,0.0066800000,4
656543,0.0039200000,2
656713,0.0163000000,2
657083,0.0088300000,3
657293,0.0039200000,4
657693,0.0039200000,2
658033,0.0218000000,4
658293,0.0065500000,2
659393,0.0134000000,3
659803,0.0244000000,2
660823,0.0195000000,5
661573,0.0159000000,2
662763,0.0402000000,7
663463,0.1483989406,6
665023,0.0039200000,2
666043,0.1087087620,6
666523,0.0466000000,5
667003,0.0378000000,4
667873,0.0535000000,3
668243,0.0241000000,4
668423,0.0151000000,2
669303,0.0358000000,4
671083,0.0039200000,2
671483,0.0409000000,4
671503,0.0085100000,3
671763,0.0199000000,5
672473,0.0093300000,2
672493,0.0219000000,3
673743,0.0209000000,7
674383,0.0449000000,6
674593,0.0383000000,6
675563,0.0627000000,6
676493,0.0039200000,3
676923,0.0353000000,3
677523,0.0120000000,2
678233,0.0039200000,2
678323,0.0215000000,7
678893,0.0113000000,3
679173,0.0092500000,2
679303,0.1159836350,7
